review_id,account_number,film_id,title,score,description,review_date
51,16,3,object-oriented,5,orci eget orci,2020-08-12
52,19,8,Streamlined,4,erat nulla tempus vivamus in felis,2019-08-20
53,11,18,support,1,sed nisl nunc rhoncus dui vel sem sed sagittis,2019-06-05
54,7,18,eco-centric,3,ut nulla sed accumsan felis ut at,2020-02-29
55,15,20,Phased,2,dis parturient montes nascetur ridiculus mus vivamus vestibulum,2020-04-20
56,5,3,encoding,1,aenean sit amet justo,2019-02-22
57,17,15,benchmark,10,sollicitudin ut suscipit a feugiat et eros vestibulum ac,2019-09-09
58,4,8,Realigned,9,vulputate luctus cum sociis natoque penatibus et magnis dis parturient,2020-09-03
59,18,8,Business-focused,5,cum sociis natoque penatibus et magnis,2020-06-28
60,13,18,executive,9,tincidunt in leo maecenas pulvinar lobortis,2019-12-22
61,7,3,moratorium,10,non ligula pellentesque ultrices phasellus id sapien in sapien,2020-10-06
62,14,4,Secured,4,dapibus nulla suscipit ligula in lacus curabitur,2020-09-12
63,15,10,solution,9,nulla sed vel enim sit amet nunc viverra,2020-07-14
64,10,18,intranet,9,odio porttitor id consequat in consequat ut nulla,2019-02-08
65,15,3,service-desk,3,maecenas tincidunt lacus at velit vivamus vel,2020-01-07
66,13,6,actuating,7,vivamus in felis eu sapien cursus vestibulum proin eu,2020-04-17
67,5,12,clear-thinking,6,aliquam erat volutpat,2020-05-12
68,4,18,installation,9,id nulla ultrices aliquet maecenas leo,2020-09-16
69,14,3,clear-thinking,7,id sapien in sapien iaculis congue vivamus,2020-07-11
70,3,18,4th generation,7,mauris ullamcorper purus sit amet nulla quisque,2020-10-15
71,1,2,Organic,3,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,2019-02-24
72,16,6,Assimilated,5,interdum mauris ullamcorper,2018-10-31
73,3,2,Seamless,7,nunc viverra dapibus nulla suscipit ligula in lacus,2018-10-28
74,8,2,standardization,3,ac neque duis bibendum morbi non quam nec,2019-11-28
75,16,18,global,4,consequat morbi a ipsum integer a,2019-10-30
76,11,16,Focused,4,eleifend pede libero quis orci nullam molestie,2020-10-13
77,17,19,disintermediate,9,fusce congue diam id ornare imperdiet,2020-08-16
78,9,20,Fully-configurable,1,imperdiet nullam orci pede venenatis non sodales sed tincidunt,2019-12-31
79,9,3,dedicated,9,sem fusce consequat nulla nisl nunc nisl duis,2020-04-26
80,16,1,24/7,2,primis in faucibus orci luctus et,2020-06-09
81,9,16,Re-contextualized,6,id ligula suspendisse ornare consequat lectus in est risus,2019-06-29
82,14,13,alliance,2,vestibulum vestibulum ante,2020-02-28
83,10,11,Up-sized,2,nunc vestibulum ante ipsum primis in faucibus,2019-09-15
84,5,7,Vision-oriented,6,diam nam tristique tortor eu pede,2020-08-09
85,20,13,Multi-layered,8,augue vel accumsan tellus nisi eu orci mauris lacinia,2020-08-16
86,9,13,Automated,9,turpis nec euismod,2018-10-21
87,10,7,Horizontal,9,et ultrices posuere cubilia curae duis faucibus accumsan odio,2019-04-08
88,16,2,workforce,10,praesent lectus vestibulum quam sapien varius ut blandit,2019-11-26
89,20,16,definition,6,amet turpis elementum ligula,2019-03-10
90,16,7,Programmable,9,ipsum dolor sit amet consectetuer adipiscing elit proin risus,2020-09-25
91,6,8,algorithm,3,turpis eget elit sodales scelerisque mauris sit,2019-06-27
92,6,19,Proactive,6,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,2019-08-09
93,18,16,exuding,4,lobortis est phasellus sit amet erat nulla tempus vivamus,2020-08-04
94,17,13,definition,1,blandit nam nulla integer pede justo lacinia eget tincidunt eget,2019-12-23
95,17,5,project,1,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,2019-08-22
96,7,1,Intuitive,5,mi integer ac,2020-04-04
97,15,14,initiative,2,et magnis dis parturient montes nascetur,2019-06-20
98,11,10,needs-based,2,tellus nulla ut erat id mauris vulputate elementum,2019-03-31
99,9,12,web-enabled,4,porta volutpat quam pede lobortis ligula,2019-08-26
100,5,16,instruction set,2,dui nec nisi volutpat eleifend,2020-03-19
